Site	LUtype	Chamber	SampleDate	Season	StartTime	RowInter	AirTmpStart	AirTmpEnd	SoilTmpEnd	SoilMoisPercent	DOC	NFert	FertDateMaizePlanting	FertTimeElapsedMaizePlanting	FertDateMaizeBroadcast	FertTimeElapsedMaizeBroadcast		
M1	M	B	2013.12.19	Wet	8:50	NA	25.5	31.5	26.0	0.256185906	NA	Y	2014.03.04	-75	Unknown	NA		
M1	M	C	2013.12.19	Wet	8:50	NA	25.5	31.5	26.0	0.258789912	NA	Y	2014.03.04	-75	Unknown	NA		
M1	M	D	2013.12.19	Wet	8:50	NA	25.5	31.5	28.0	0.270145994	NA	Y	2014.03.04	-75	Unknown	NA		
M1	M	E	2013.12.19	Wet	8:50	NA	25.5	31.5	25.0	0.271334556	NA	Y	2014.03.04	-75	Unknown	NA		
M1	M	A	2014.01.29	Wet	8:20	NA	24.7	28.3	24.0	0.219229376	NA	Y	2014.03.04	-34	Unknown	NA		
M1	M	B	2014.01.29	Wet	8:20	NA	24.7	28.3	25.0	0.234488316	NA	Y	2014.03.04	-34	Unknown	NA		
M1	M	C	2014.01.29	Wet	8:20	NA	24.7	28.3	25.0	0.223784533	NA	Y	2014.03.04	-34	Unknown	NA		
M1	M	D	2014.01.29	Wet	8:20	NA	24.7	28.3	25.0	0.22944121	NA	Y	2014.03.04	-34	Unknown	NA		
M1	M	E	2014.01.29	Wet	8:20	NA	24.7	28.3	24.0	0.239471584	NA	Y	2014.03.04	-34	Unknown	NA		
M1	M	A	2014.02.11	Wet	8:00	NA	26.3	40.3	25.0	0.225150679	NA	Y	2014.03.04	-21	Unknown	NA		
M1	M	B	2014.02.11	Wet	8:00	NA	26.3	40.3	24.0	0.251573821	NA	Y	2014.03.04	-21	Unknown	NA		
M1	M	C	2014.02.11	Wet	8:00	NA	26.3	40.3	25.0	0.246397226	NA	Y	2014.03.04	-21	Unknown	NA		
M1	M	D	2014.02.11	Wet	8:00	NA	26.3	40.3	24.0	0.238150423	NA	Y	2014.03.04	-21	Unknown	NA		
M1	M	E	2014.02.11	Wet	8:00	NA	26.3	40.3	25.0	0.258355529	NA	Y	2014.03.04	-21	Unknown	NA		
M1	M	A	2014.03.06	Wet	8:00	I	24.5	27.0	27.0	0.291093729	NA	Y	2014.03.04	2	Unknown	NA		
M1	M	B	2014.03.06	Wet	8:00	R	24.5	27.0	26.0	0.237031389	NA	Y	2014.03.04	2	Unknown	NA		
M1	M	C	2014.03.06	Wet	8:00	R	24.5	27.0	27.0	0.293896049	NA	Y	2014.03.04	2	Unknown	NA		
M1	M	D	2014.03.06	Wet	8:00	R	24.5	27.0	26.0	0.268557593	NA	Y	2014.03.04	2	Unknown	NA		
M1	M	E	2014.03.06	Wet	8:00	I	24.5	27.0	26.0	0.305721993	NA	Y	2014.03.04	2	Unknown	NA		
M1	M	A	2014.03.10	Wet	9:40	R	28.0	29.5	27.0	NA	NA	Y	2014.03.04	6	Unknown	NA		
M1	M	B	2014.03.10	Wet	9:40	R	28.0	29.5	26.0	NA	NA	Y	2014.03.04	6	Unknown	NA		
